,country,region,price,iso3,protect,restore,manage,total,varname,units
0,Algeria,North,10,DZA,0.0,205.12,271431.17,271636.29,abs_jobs,Jobs
1,Algeria,North,20,DZA,1.36,13054.36,475683.89,488739.61,abs_jobs,Jobs
2,Algeria,North,30,DZA,2.72,25903.59,679936.61,705842.92,abs_jobs,Jobs
3,Algeria,North,40,DZA,4.09,38752.83,884189.33,922946.24,abs_jobs,Jobs
4,Algeria,North,50,DZA,5.45,51602.06,1088442.05,1140049.56,abs_jobs,Jobs
5,Algeria,North,60,DZA,6.81,64451.3,1292694.76,1357152.87,abs_jobs,Jobs
6,Algeria,North,70,DZA,8.17,77300.53,1496947.48,1574256.19,abs_jobs,Jobs
7,Algeria,North,80,DZA,9.53,90149.77,1701200.2,1791359.5,abs_jobs,Jobs
8,Algeria,North,90,DZA,10.9,102999.0,1905452.92,2008462.82,abs_jobs,Jobs
9,Algeria,North,100,DZA,12.26,115848.24,2109705.64,2225566.14,abs_jobs,Jobs
10,Algeria,North,110,DZA,13.62,128697.47,2313958.36,2442669.45,abs_jobs,Jobs
11,Algeria,North,120,DZA,14.98,141546.71,2518211.08,2659772.77,abs_jobs,Jobs
12,Angola,Middle Africa,10,AGO,123.36,60305.77,1044493.4,1104922.53,abs_jobs,Jobs
13,Angola,Middle Africa,20,AGO,131.57,79592.4,1227058.49,1306782.46,abs_jobs,Jobs
14,Angola,Middle Africa,30,AGO,139.78,98879.03,1409623.58,1508642.39,abs_jobs,Jobs
15,Angola,Middle Africa,40,AGO,148.0,118165.65,1592188.67,1710502.32,abs_jobs,Jobs
16,Angola,Middle Africa,50,AGO,156.21,137452.28,1774753.76,1912362.25,abs_jobs,Jobs
17,Angola,Middle Africa,60,AGO,164.42,156738.91,1957318.84,2114222.18,abs_jobs,Jobs
18,Angola,Middle Africa,70,AGO,172.63,176025.54,2139883.93,2316082.11,abs_jobs,Jobs
19,Angola,Middle Africa,80,AGO,180.85,195312.17,2322449.02,2517942.04,abs_jobs,Jobs
20,Angola,Middle Africa,90,AGO,189.06,214598.8,2505014.11,2719801.97,abs_jobs,Jobs
21,Angola,Middle Africa,100,AGO,197.27,233885.43,2687579.2,2921661.9,abs_jobs,Jobs
22,Angola,Middle Africa,110,AGO,205.48,253172.06,2870144.29,3123521.83,abs_jobs,Jobs
23,Angola,Middle Africa,120,AGO,213.69,272458.68,3052709.38,3325381.76,abs_jobs,Jobs
24,Benin,West,10,BEN,1.92,3076.82,257761.25,260840.0,abs_jobs,Jobs
25,Benin,West,20,BEN,2.34,4734.62,329513.2,334250.16,abs_jobs,Jobs
26,Benin,West,30,BEN,2.76,6392.41,401265.14,407660.31,abs_jobs,Jobs
27,Benin,West,40,BEN,3.19,8050.2,473017.09,481070.47,abs_jobs,Jobs
28,Benin,West,50,BEN,3.61,9707.99,544769.04,554480.63,abs_jobs,Jobs
29,Benin,West,60,BEN,4.03,11365.78,616520.98,627890.79,abs_jobs,Jobs
30,Benin,West,70,BEN,4.45,13023.57,688272.93,701300.95,abs_jobs,Jobs
31,Benin,West,80,BEN,4.88,14681.36,760024.87,774711.11,abs_jobs,Jobs
32,Benin,West,90,BEN,5.3,16339.15,831776.82,848121.27,abs_jobs,Jobs
33,Benin,West,100,BEN,5.72,17996.94,903528.76,921531.43,abs_jobs,Jobs
34,Benin,West,110,BEN,6.15,19654.74,975280.71,994941.59,abs_jobs,Jobs
35,Benin,West,120,BEN,6.57,21312.53,1047032.66,1068351.75,abs_jobs,Jobs
36,Botswana,South,10,BWA,0.1,5948.53,143643.43,149592.06,abs_jobs,Jobs
37,Botswana,South,20,BWA,0.11,7050.11,175838.78,182889.0,abs_jobs,Jobs
38,Botswana,South,30,BWA,0.12,8151.69,208034.12,216185.93,abs_jobs,Jobs
39,Botswana,South,40,BWA,0.12,9253.27,240229.47,249482.86,abs_jobs,Jobs
40,Botswana,South,50,BWA,0.13,10354.85,272424.82,282779.8,abs_jobs,Jobs
41,Botswana,South,60,BWA,0.14,11456.42,304620.17,316076.73,abs_jobs,Jobs
42,Botswana,South,70,BWA,0.14,12558.0,336815.52,349373.66,abs_jobs,Jobs
43,Botswana,South,80,BWA,0.15,13659.58,369010.86,382670.6,abs_jobs,Jobs
44,Botswana,South,90,BWA,0.15,14761.16,401206.21,415967.53,abs_jobs,Jobs
45,Botswana,South,100,BWA,0.16,15862.74,433401.56,449264.46,abs_jobs,Jobs
46,Botswana,South,110,BWA,0.17,16964.32,465596.91,482561.4,abs_jobs,Jobs
47,Botswana,South,120,BWA,0.17,18065.9,497792.26,515858.33,abs_jobs,Jobs
48,Burkina Faso,West,10,BFA,0.04,3076.82,765719.22,768796.09,abs_jobs,Jobs
49,Burkina Faso,West,20,BFA,0.18,3646.61,1004604.12,1008250.91,abs_jobs,Jobs
50,Burkina Faso,West,30,BFA,0.32,4216.39,1243489.01,1247705.72,abs_jobs,Jobs
51,Burkina Faso,West,40,BFA,0.46,4786.17,1482373.91,1487160.54,abs_jobs,Jobs
52,Burkina Faso,West,50,BFA,0.6,5355.95,1721258.8,1726615.36,abs_jobs,Jobs
53,Burkina Faso,West,60,BFA,0.74,5925.74,1960143.7,1966070.18,abs_jobs,Jobs
54,Burkina Faso,West,70,BFA,0.88,6495.52,2199028.59,2205525.0,abs_jobs,Jobs
55,Burkina Faso,West,80,BFA,1.03,7065.3,2437913.49,2444979.82,abs_jobs,Jobs
56,Burkina Faso,West,90,BFA,1.17,7635.08,2676798.38,2684434.63,abs_jobs,Jobs
57,Burkina Faso,West,100,BFA,1.31,8204.87,2915683.28,2923889.45,abs_jobs,Jobs
58,Burkina Faso,West,110,BFA,1.45,8774.65,3154568.17,3163344.27,abs_jobs,Jobs
59,Burkina Faso,West,120,BFA,1.59,9344.43,3393453.07,3402799.09,abs_jobs,Jobs
60,Burundi,East,10,BDI,1.52,3692.19,212084.59,215778.29,abs_jobs,Jobs
61,Burundi,East,20,BDI,1.62,5403.25,241951.59,247356.46,abs_jobs,Jobs
62,Burundi,East,30,BDI,1.73,7114.3,271818.6,278934.63,abs_jobs,Jobs
63,Burundi,East,40,BDI,1.84,8825.36,301685.61,310512.8,abs_jobs,Jobs
64,Burundi,East,50,BDI,1.94,10536.41,331552.62,342090.98,abs_jobs,Jobs
65,Burundi,East,60,BDI,2.05,12247.47,361419.63,373669.15,abs_jobs,Jobs
66,Burundi,East,70,BDI,2.15,13958.53,391286.64,405247.32,abs_jobs,Jobs
67,Burundi,East,80,BDI,2.26,15669.58,421153.65,436825.49,abs_jobs,Jobs
68,Burundi,East,90,BDI,2.37,17380.64,451020.65,468403.66,abs_jobs,Jobs
69,Burundi,East,100,BDI,2.47,19091.69,480887.66,499981.83,abs_jobs,Jobs
70,Burundi,East,110,BDI,2.58,20802.75,510754.67,531560.0,abs_jobs,Jobs
71,Burundi,East,120,BDI,2.69,22513.81,540621.68,563138.17,abs_jobs,Jobs
72,Cape Verde,West,10,CPV,0.0,0.0,1462.1,1462.1,abs_jobs,Jobs
73,Cape Verde,West,20,CPV,0.0,2598.51,1624.58,4223.09,abs_jobs,Jobs
74,Cape Verde,West,30,CPV,0.0,5197.02,1787.05,6984.07,abs_jobs,Jobs
75,Cape Verde,West,40,CPV,0.0,7795.52,1949.53,9745.05,abs_jobs,Jobs
76,Cape Verde,West,50,CPV,0.0,10394.03,2112.0,12506.03,abs_jobs,Jobs
77,Cape Verde,West,60,CPV,0.0,12992.54,2274.48,15267.02,abs_jobs,Jobs
78,Cape Verde,West,70,CPV,0.0,15591.05,2436.95,18028.0,abs_jobs,Jobs
79,Cape Verde,West,80,CPV,0.0,18189.56,2599.43,20788.98,abs_jobs,Jobs
80,Cape Verde,West,90,CPV,0.0,20788.07,2761.9,23549.97,abs_jobs,Jobs
81,Cape Verde,West,100,CPV,0.0,23386.57,2924.38,26310.95,abs_jobs,Jobs
82,Cape Verde,West,110,CPV,0.0,25985.08,3086.85,29071.93,abs_jobs,Jobs
83,Cape Verde,West,120,CPV,0.0,28583.59,3249.33,31832.92,abs_jobs,Jobs
84,Cameroon,Middle Africa,10,CMR,55.68,5948.53,2471345.75,2477349.95,abs_jobs,Jobs
85,Cameroon,Middle Africa,20,CMR,60.06,84754.11,2853207.68,2938021.85,abs_jobs,Jobs
86,Cameroon,Middle Africa,30,CMR,64.44,163559.69,3235069.61,3398693.74,abs_jobs,Jobs
87,Cameroon,Middle Africa,40,CMR,68.82,242365.26,3616931.54,3859365.63,abs_jobs,Jobs
88,Cameroon,Middle Africa,50,CMR,73.21,321170.84,3998793.48,4320037.53,abs_jobs,Jobs
89,Cameroon,Middle Africa,60,CMR,77.59,399976.42,4380655.41,4780709.42,abs_jobs,Jobs
90,Cameroon,Middle Africa,70,CMR,81.97,478782.0,4762517.34,5241381.31,abs_jobs,Jobs
